                            Account  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
10                pi_csc592_uri_edu         10           80.000000       272.158333       3.4                           0.0                               0.0
103       pi_xiaohuizhang_umass_edu         11           80.000000       350.942778       1.0                           0.0                               0.0
277   pi_jerome_delhommelle_uml_edu          8           80.000000      1779.180833       1.0                           0.0                               0.0
268             pi_gomezchi_uri_edu         13           80.000000        49.440833       1.0                           0.0                               0.0
263           pi_mmudambi_umass_edu        102           80.000000       617.255833       1.0                           0.0                               0.0
192          pi_stephen_lam_uml_edu         22           80.000000       827.094444       5.0                           0.0                               0.0
176         pi_dmohapatra_umass_edu       2367           80.000000      6908.416667   1.00169                           0.0                               0.0
264      pi_murat_inalpolat_uml_edu         37           80.000000       276.313611  1.162162                           0.0                               0.0
206               pi_lgao_umass_edu          8           80.000000        21.911389       1.0                           0.0                               0.0
225            pi_bdahrooge_uri_edu          5           80.000000         5.016667       1.0                           0.0                               0.0
142        pi_subash_sharma_uml_edu        448           80.000000      3236.678889       1.0                           0.0                               0.0
288           pi_markregine_uri_edu         16           80.000000          105.455    2.0625                      0.000378                               0.0
231        pi_aheryudono_umassd_edu          7           80.000000         7.017222       2.0                      0.006342                               0.0
113           pi_gcowles_umassd_edu         12           80.000000        10.985556       1.0                      0.006789                               0.0
211        pi_sunghoonlee_umass_edu        319           80.000000      1704.217222  1.050157                      0.000149                          0.000001
35               pi_tlama_umass_edu          8           80.000000             8.24       1.0                       0.04798                          0.000001
150             pi_grason_umass_edu      22086           80.000000     17092.900833       1.0                      0.000024                          0.000001
208      pi_steven_liebling_uri_edu         21           80.000000        21.766111  1.142857                      0.021369                          0.000001
42             pi_nwycoff_umass_edu        421           80.000000       158.198333       1.0                      0.003479                          0.000001
25             pi_jtaneja_umass_edu         54           80.000000          311.675  1.055556                      0.001772                          0.000001
154              pi_heuck_umass_edu       1437           80.000000           786.67       1.0                      0.000752                          0.000001
46              pi_pchien_umass_edu       2677           80.000000      1464.150278       1.0                      0.000464                          0.000002
32                 pi_sodhi_uri_edu          8           80.000000        13.404444     2.125                       0.05528                          0.000002
214             pi_cmusco_umass_edu         88           80.000000       514.139167  1.181818                       0.00211                          0.000003
69            pi_elearned_umass_edu         30           80.000000        77.091944       1.2                      0.014609                          0.000003
197           pi_bioch642_umass_edu       1022           80.000000         817.2675       1.0                      0.001385                          0.000003
14     pi_kelum_gajamannage_uri_edu         60           80.000000       722.161944  1.516667                      0.001878                          0.000003
102           pi_jianhanc_umass_edu        202           80.000000           575.66   1.00495                      0.002508                          0.000003
212             pi_dathomas_uri_edu         20           80.000000        53.396667       1.0                      0.027642                          0.000003
159              pi_mzink_umass_edu        542           80.000000         2367.515  1.332103                      0.000804                          0.000004
269            pi_gfelder_smith_edu         36           80.000000        89.768611       1.0                      0.021498                          0.000004
143          pi_jason_green_umb_edu         83           80.000000       329.288333       1.0                      0.006732                          0.000005
76              pi_jmager_umass_edu          7           80.000000        21.034167       1.0                      0.124237                          0.000006
28               pi_eokte_umass_edu         23           78.608696       117.810833  1.304348                      0.024159                          0.000007
226       pi_ekalogerakis_umass_edu       1062           80.000000       835.578611  1.014124                      0.003414                          0.000007
94                 pi_bnl_umass_edu        342           80.000000       460.943333  1.011696                      0.006289                          0.000007
141           pi_hongkunz_umass_edu         31           80.000000        49.473611  1.032258                      0.060194                          0.000007
146           pi_mraessi_umassd_edu         53           80.000000       238.200556  1.056604                      0.012827                          0.000007
24              pi_hzyuksel_uri_edu         19           80.000000          67.9575  1.894737                      0.048886                          0.000008
34          pi_skrastanov_umass_edu         12           80.000000        63.985556       1.0                       0.05359                          0.000008
92          pi_pgrabowicz_umass_edu         91           80.000000       458.341389  1.120879                       0.00828                          0.000009
207             pi_miyyer_umass_edu       1466           80.000000      6123.725833  1.559345                      0.000761                          0.000011
43               pi_bhatt_umass_edu         14           80.000000         107.6575       2.5                      0.046506                          0.000012
75         pi_donghyunkim_umass_edu         55           80.000000       393.902222  1.054545                      0.012842                          0.000012
239           pi_lacreuse_umass_edu         22           80.000000        53.783333       1.0                      0.098144                          0.000012
196          pi_annagreen_umass_edu        702           80.000000         4414.185  1.374644                      0.001215                          0.000012
228            pi_sniekum_umass_edu       1745           80.000000        7226.0775  1.380516                      0.000778                          0.000013
230           pi_mfiterau_umass_edu        429           79.850816      3005.039722  1.242424                      0.001888                          0.000013
158             pi_mchen1_umass_edu          9           80.000000       160.746111  3.888889                      0.038952                          0.000015
147             pi_hongyu_umass_edu       1150           80.000000      4009.923333  1.133913                      0.001645                          0.000015
127        pi_wenlongzhao_umass_edu       1096           79.970803      3288.550278  1.076642                      0.002022                          0.000015
242               pi_yjeong_uri_edu         84           80.000000       993.320556  1.404762                      0.006966                          0.000016
12               pi_casey_umass_edu        112           80.000000       516.908333       1.0                      0.013882                          0.000017
282            pi_yingzhang_uri_edu       1310           80.000000      4796.506944       1.0                      0.001643                          0.000018
278               pi_csc561_uri_edu          9           80.000000        94.358611  1.666667                      0.085351                          0.000019
145         pi_compsci602_umass_edu        197           80.000000       876.052778   1.06599                      0.009912                           0.00002
205          pi_rfisher1_umassd_edu         20           80.000000       125.716667       1.0                      0.070842                          0.000021
201           pi_juanzhai_umass_edu        867           80.000000          2615.38  1.141869                      0.003669                          0.000022
137          pi_harishsunak_uri_edu         29           80.000000       146.598333       1.0                      0.067222                          0.000023
29                pi_hava_umass_edu        151           80.000000         671.3175       1.0                      0.015414                          0.000024
21           pi_amit_deokar_uml_edu         75           80.000000       368.745833       1.0                      0.028626                          0.000025
80             pi_mchiovaro_uri_edu         93           80.000000       393.453611       1.0                      0.030234                          0.000028
179           pi_rsitaram_umass_edu         12           80.000000        29.240278       1.0                      0.408651                          0.000028
61            pi_erietman_umass_edu         78           80.000000       318.124444       1.0                      0.037907                          0.000028
17   pi_mohammadariful_alam_uml_edu         86           80.000000       525.886667       1.0                      0.022983                          0.000028
37              pi_bo_sheng_umb_edu        179           80.000000       206.441944       1.0                      0.062109                           0.00003
