                            Account  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
65              pi_gomezchi_uri_edu         10           80.000000        36.585556       1.0                      0.000000                      0.000000e+00
90            pi_mmudambi_umass_edu         96           80.000000       614.134444       1.0                      0.000000                      0.000000e+00
57                pi_lgao_umass_edu          8           75.000000        21.911389       1.0                      0.000000                      0.000000e+00
177         pi_dmohapatra_umass_edu       2339           79.914493      6883.051111       1.0                      0.000000                      0.000000e+00
134       pi_xiaohuizhang_umass_edu         11           80.000000       350.942778       1.0                      0.000000                      0.000000e+00
131      pi_murat_inalpolat_uml_edu         31           80.000000       236.109167       1.0                      0.000000                      0.000000e+00
120            pi_bdahrooge_uri_edu          5           80.000000         5.016667       1.0                      0.000000                      0.000000e+00
106        pi_subash_sharma_uml_edu        438           79.452055      3156.654722       1.0                      0.000000                      0.000000e+00
151   pi_jerome_delhommelle_uml_edu          8           80.000000      1779.180833       1.0                      0.000000                      0.000000e+00
147        pi_aheryudono_umassd_edu          6           80.000000         3.519444       1.0                      0.003550                      5.656590e-08
91            pi_gcowles_umassd_edu         12           80.000000        10.985556       1.0                      0.006789                      3.376975e-07
175      pi_steven_liebling_uri_edu         18           80.000000        16.427500       1.0                      0.006131                      4.560220e-07
136    pi_kelum_gajamannage_uri_edu         31           80.000000       222.745556       1.0                      0.000482                      4.858871e-07
80         pi_sunghoonlee_umass_edu        314           79.490446      1651.435000       1.0                      0.000154                      1.152876e-06
2                  pi_yshen_uri_edu         12           80.000000         3.463611       1.0                      0.097601                      1.530578e-06
87               pi_heuck_umass_edu       1311           80.000000       608.301111       1.0                      0.000655                      1.804809e-06
107              pi_tlama_umass_edu          8           75.000000         8.240000       1.0                      0.048566                      1.811877e-06
123             pi_grason_umass_edu      22086           76.462918     17092.900833       1.0                      0.000026                      2.019212e-06
172            pi_jtaneja_umass_edu         40           79.000000       194.718611       1.0                      0.002433                      2.145339e-06
94             pi_nwycoff_umass_edu        421           80.000000       158.198333       1.0                      0.003479                      2.491789e-06
96              pi_pchien_umass_edu       2676           80.000000      1463.146111       1.0                      0.000464                      3.074763e-06
74                 pi_sodhi_uri_edu          5           80.000000         4.631111       1.0                      0.167577                      3.513750e-06
81              pi_miyyer_umass_edu        970           80.000000      1691.568056       1.0                      0.000601                      4.605847e-06
132           pi_bioch642_umass_edu        922           80.000000       765.984167       1.0                      0.001375                      4.768197e-06
23              pi_cmusco_umass_edu         76           76.315789       417.538333       1.0                      0.002872                      5.428989e-06
97              pi_dathomas_uri_edu         20           80.000000        53.396667       1.0                      0.027642                      6.682649e-06
155             pi_zhuzhang_uri_edu         10           64.000000        38.327222       1.0                      0.040869                      7.092059e-06
137       pi_ekalogerakis_umass_edu       1053           79.620133       706.072500       1.0                      0.002255                      7.209865e-06
45            pi_jianhanc_umass_edu        201           72.835821       542.865000       1.0                      0.002988                      7.344018e-06
67            pi_elearned_umass_edu         28           75.714286        57.046389       1.0                      0.029298                      7.567346e-06
124            pi_gfelder_smith_edu         36           80.000000        89.768611       1.0                      0.021498                      8.737683e-06
173          pi_jason_green_umb_edu         83           80.000000       329.288333       1.0                      0.006732                      1.003712e-05
92              pi_hzyuksel_uri_edu          8           80.000000        27.175000       1.0                      0.085032                      1.046218e-05
167             pi_jmager_umass_edu          7           80.000000        21.034167       1.0                      0.124237                      1.183169e-05
176              pi_eokte_umass_edu         20           78.000000        92.635000       1.0                      0.028449                      1.193212e-05
14            pi_mraessi_umassd_edu         50           80.000000       222.655278       1.0                      0.012899                      1.300402e-05
17                pi_yjeong_uri_edu         65           80.000000       216.806667       1.0                      0.013398                      1.315214e-05
55                 pi_bnl_umass_edu        338           78.461538       446.838333       1.0                      0.006965                      1.409083e-05
113           pi_erietman_umass_edu         33           80.000000       151.351111       1.0                      0.026446                      1.812238e-05
153           pi_hongkunz_umass_edu         26           75.384615        43.192500       1.0                      0.097751                      1.911615e-05
49              pi_hongyu_umass_edu       1045           79.081340      2684.041944       1.0                      0.001757                      2.134946e-05
32         pi_wenlongzhao_umass_edu        922           76.659436      2415.876667       1.0                      0.002036                      2.227260e-05
