                            Account  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
10                pi_csc592_uri_edu          7                80.0       176.120556  3.142857                           0.0                               0.0
25             pi_jtaneja_umass_edu         13                80.0        84.946389       1.0                           0.0                               0.0
167            pi_rrahimi_umass_edu          6                80.0            47.19  1.166667                           0.0                               0.0
142        pi_subash_sharma_uml_edu         10                80.0        80.024167       1.0                           0.0                               0.0
176         pi_dmohapatra_umass_edu         24                80.0        14.961667       1.0                           0.0                               0.0
263           pi_mmudambi_umass_edu          6                80.0         3.121389       1.0                           0.0                               0.0
228            pi_sniekum_umass_edu         40                80.0        13.426944       1.0                      0.000093                               0.0
174             pi_jdomke_umass_edu          6                80.0        19.950278       1.0                      0.000278                               0.0
4             pi_mccallum_umass_edu         12                80.0        27.830556       1.0                      0.000392                          0.000001
147             pi_hongyu_umass_edu         11                80.0        28.617222  1.090909                      0.000719                          0.000001
230           pi_mfiterau_umass_edu         13                80.0        83.362222       1.0                      0.000594                          0.000002
152           pi_gvanhorn_umass_edu         16                80.0        39.188333       1.0                      0.001293                          0.000003
197           pi_bioch642_umass_edu        100                80.0        51.283333       1.0                       0.00148                          0.000004
84               pi_yzick_umass_edu         20                80.0        55.104444       1.0                      0.001469                          0.000004
136            pi_chuangg_umass_edu         26                80.0       117.329444       1.0                      0.001342                          0.000008
122            pi_pthomas_umass_edu         52                80.0       124.332778       1.0                       0.00142                          0.000009
17   pi_mohammadariful_alam_uml_edu         19                80.0        41.990833       1.0                       0.00483                           0.00001
154              pi_heuck_umass_edu        126                80.0       178.368889       1.0                      0.001763                          0.000016
162        pi_ahoumansadr_umass_edu         47                80.0       316.292222  1.446809                      0.001211                          0.000019
183              pi_gkhanna_uri_edu         11                80.0         447.1125       1.0                      0.000921                          0.000021
41              pi_bsilva_umass_edu         49                80.0       111.220278       1.0                      0.004571                          0.000025
92          pi_pgrabowicz_umass_edu          6                80.0        48.027222       1.0                      0.012433                           0.00003
163              pi_phaas_umass_edu         85                80.0       258.216389       1.0                      0.004475                          0.000058
127        pi_wenlongzhao_umass_edu        119                80.0       369.152778  1.042017                      0.003428                          0.000063
14     pi_kelum_gajamannage_uri_edu          7                80.0          99.1825  1.428571                      0.013652                          0.000067
106             pi_jensen_umass_edu         17                80.0       112.599167       1.0                       0.01544                          0.000087
29                pi_hava_umass_edu         29                80.0       125.423056       1.0                      0.015965                            0.0001
37              pi_bo_sheng_umb_edu         14                80.0        22.112222       1.0                      0.125301                          0.000138
64           pi_brownsarahm_uri_edu         15                80.0       129.173333       2.4                      0.029879                          0.000192
111              pi_ashgiri_uri_edu         11                80.0       616.091944  2.181818                      0.009235                          0.000284
61            pi_erietman_umass_edu         45                80.0       166.773333       1.0                      0.046312                          0.000385
188           pi_aghasemi_umass_edu         62                80.0      1961.803889  3.080645                      0.005355                          0.000524
270               pi_zhangl_uri_edu         94                80.0     13347.277778       4.0                      0.000964                          0.000641
20              pi_shenoy_umass_edu         12                80.0       179.683333       1.0                      0.212382                          0.001902
62              pi_kdonohue_uri_edu         17                80.0       125.633889  1.705882                      0.331173                          0.002074
