                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
41                                anthony_bowers_student_uml_edu        448           79.464286      3236.678889       1.0                      0.000000                      0.000000e+00
51                                           asajeeda_umassd_edu         18           80.000000       144.062500       1.0                      0.000000                      0.000000e+00
422                                       vmuralikrish_umass_edu          5           80.000000        28.016667       1.0                      0.000000                      0.000000e+00
73                                            bmuhwezi_umass_edu         28           78.571429        93.264167       1.0                      0.000000                      0.000000e+00
70                                             bdahrooge_uri_edu          5           80.000000         5.016667       1.0                      0.000000                      0.000000e+00
59                                              aukale_umass_edu          6           80.000000        14.234444       1.0                      0.000000                      0.000000e+00
428                                        wenlongzhao_umass_edu         20           80.000000       154.069722       1.0                      0.000000                      0.000000e+00
427                                          wenjunliu_umass_edu         21           78.095238       126.523056       1.0                      0.000000                      0.000000e+00
381                            stephanie_epstein_student_uml_edu         30           80.000000       234.108611       1.0                      0.000000                      0.000000e+00
342                                          sdandekar_umass_edu        122           80.000000      1445.128333       1.0                      0.000000                      0.000000e+00
370                                          sparvekar_umass_edu          7           80.000000         9.394444       1.0                      0.000000                      0.000000e+00
109                                             dgupta_umass_edu          7           80.000000         7.025000       1.0                      0.000000                      0.000000e+00
74                                                 bnl_umass_edu        219           77.990868       177.629444       1.0                      0.000000                      0.000000e+00
198                                               kadria_uri_edu          5           80.000000        12.021667       1.0                      0.000000                      0.000000e+00
150                                          hhargrove_umass_edu         11           80.000000       350.942778       1.0                      0.000000                      0.000000e+00
118                                         dmohapatra_umass_edu       2363           79.915362      6898.012778       1.0                      0.000000                      0.000000e+00
338                                         samsonjaypee_uri_edu         13           80.000000        49.440833       1.0                      0.000000                      0.000000e+00
340                                       sanupkrishna_umass_edu         11           80.000000        65.660278       1.0                      0.000000                      0.000000e+00
295                                         peihaochen_umass_edu         60           80.000000       353.214722       1.0                      0.000000                      0.000000e+00
205                                            kdonkor_umass_edu         16           80.000000       143.679722       1.0                      0.000000                      0.000000e+00
199                                         kaichunliu_umass_edu        308           79.480519      1619.943333       1.0                      0.000000                      0.000000e+00
207  kithmasajinidileka_gampalaliyanapathiranage_student_uml_edu          8           80.000000      1779.180833       1.0                      0.000000                      0.000000e+00
276                                          nmangwani_umass_edu          5           80.000000        19.015556       1.0                      0.000000                      0.000000e+00
277                                             noctis_umass_edu          7           74.285714        21.120000       1.0                      0.000000                      0.000000e+00
234                                           mgalusha_umass_edu         13           80.000000        21.231667       1.0                      0.000000                      0.000000e+00
449                                          ykothekar_umass_edu         15           80.000000        60.868056       1.0                      0.000000                      0.000000e+00
250                                           mmudambi_umass_edu        102           80.000000       617.255833       1.0                      0.000000                      0.000000e+00
5                                            aatmakuru_umass_edu          5           80.000000        15.758056       1.0                      0.000000                      0.000000e+00
235                                        mganapaneni_umass_edu          8           80.000000        26.029444       1.0                      0.000000                      0.000000e+00
364                                             snikku_umass_edu         40           74.000000        93.881111       1.0                      0.000097                      4.048159e-08
31                                        amritanshmis_umass_edu         15           80.000000        61.620556       1.0                      0.001020                      2.801419e-07
192                                          juelinliu_umass_edu         13           80.000000        30.047778       1.0                      0.002311                      3.094366e-07
93                                            ckenyon_umassd_edu         12           80.000000        10.985556       1.0                      0.006789                      3.324306e-07
265                                       nazaninjafar_umass_edu         12           80.000000        32.756944       1.0                      0.002547                      3.718825e-07
454                                          yuhongluo_umass_edu         95           80.000000       636.384722       1.0                      0.000145                      4.114318e-07
383                                      steven_liebling_uri_edu         20           80.000000        17.763889       1.0                      0.005518                      4.368859e-07
336                                       saisreenivas_umass_edu          8           80.000000        11.989444       1.0                      0.008659                      4.627376e-07
129                                       edmondcunnin_umass_edu        101           79.207921       214.896667       1.0                      0.000570                      5.459508e-07
117                                             dmaram_umass_edu         37           78.918919        56.352500       1.0                      0.002207                      5.544450e-07
140                                             fikram_umass_edu         32           80.000000         8.845556       1.0                      0.021540                      8.491999e-07
309                                 priscilla_kissiappia_uri_edu         18           80.000000       144.078611       1.0                      0.001517                      9.740443e-07
112                                       dhruvinrakes_umass_edu          7           68.571429        13.219722       1.0                      0.016993                      1.001266e-06
400                                          tbudhwani_umass_edu         23           80.000000       115.187500       1.0                      0.002114                      1.085471e-06
24                                         aheryudono_umassd_edu          6           80.000000         3.519444       1.0                      0.070800                      1.110584e-06
90                                         chengzhangbao_uri_edu         12           80.000000         3.463611       1.0                      0.097601                      1.506706e-06
323                                              rgarg_umass_edu          5           80.000000        11.019722       1.0                      0.034969                      1.717523e-06
396                                             syasna_smith_edu          8           75.000000         8.240000       1.0                      0.048566                      1.783618e-06
435                                         xingyubian_umass_edu          5           80.000000        39.704722       1.0                      0.010234                      1.811010e-06
333                                           rvmathew_umass_edu      22086           76.462918     17092.900833       1.0                      0.000026                      1.987719e-06
154                                        hochulhwang_umass_edu         17           80.000000       132.083611       1.0                      0.003462                      2.038155e-06
209                                       kravichandra_umass_edu         12           80.000000        96.034722       1.0                      0.004813                      2.060227e-06
294                                             pchien_umass_edu       1151           80.000000       467.790833       1.0                      0.001028                      2.144213e-06
190                                           jrussell_umass_edu         20           80.000000        39.205000       1.0                      0.012883                      2.251219e-06
30                                             amekala_umass_edu         93           80.000000        99.673611       1.0                      0.005374                      2.387503e-06
279                                            nwycoff_umass_edu        421           80.000000       158.198333       1.0                      0.003479                      2.452925e-06
404                                            tislam_umassd_edu          7           80.000000        56.031944       1.0                      0.010314                      2.575750e-06
253                               mohamed_elgaar_student_uml_edu         33           75.151515        15.075556       1.0                      0.038469                      2.584825e-06
149                                              heuck_umass_edu       1435           80.000000       783.953056       1.0                      0.000755                      2.636550e-06
97                                              ctpham_umass_edu        618           80.000000      1015.095000       1.0                      0.000749                      3.389245e-06
267                                       nevbarunegbe_umass_edu         30           80.000000        73.331389       1.0                      0.011300                      3.693205e-06
66                                          baldikacti_umass_edu       1526           80.000000       996.359444       1.0                      0.000832                      3.696416e-06
167                                       jacksonmicha_umass_edu         46           74.782609       280.541111       1.0                      0.002984                      3.731625e-06
443                                         yekyungkim_umass_edu         41           80.000000       235.453056       1.0                      0.003726                      3.910338e-06
447                                          yiwenyang_umass_edu          6           80.000000        12.017222       1.0                      0.074450                      3.987623e-06
124                                         dshivashok_umass_edu        817           79.510404       207.286944       1.0                      0.004478                      4.137141e-06
52                                             asalemi_umass_edu         42           80.000000       196.173056       1.0                      0.004888                      4.273424e-06
275                                           nkparikh_umass_edu         15           80.000000        25.862778       1.0                      0.037845                      4.362381e-06
11                                        abhinavbhati_umass_edu          6           80.000000        12.032778       1.0                      0.092781                      4.975866e-06
132                                          emccleary_umass_edu       1011           80.000000       793.598333       1.0                      0.001429                      5.054843e-06
410                                          ttripathi_umass_edu         69           80.000000        76.623333       1.0                      0.014883                      5.082582e-06
355                                       siddharthjai_umass_edu         11           80.000000         9.162500       1.0                      0.130425                      5.326217e-06
329                                        rpulishetty_umass_edu         76           76.315789       417.538333       1.0                      0.002872                      5.344316e-06
183                                        jkarnuthala_umass_edu         15           80.000000        48.456111       1.0                      0.027487                      5.936436e-06
196                                             jzhu5_umassd_edu         34           80.000000       267.021111       1.0                      0.005283                      6.287300e-06
252                                            mnchase_umass_edu          7           80.000000         2.446389       1.0                      0.594323                      6.480276e-06
232                                            mfernando_uri_edu         20           80.000000        53.396667       1.0                      0.027642                      6.578423e-06
439                                         yapeichang_umass_edu        145           80.000000       231.417500       1.0                      0.006601                      6.807980e-06
438                                            yajieli_umass_edu         15           80.000000        45.854444       1.0                      0.033573                      6.861516e-06
63                                         ayman_sandouk_uri_edu         23           80.000000        59.204722       1.0                      0.026462                      6.982597e-06
217                                             limr_iastate_edu         10           64.000000        38.327222       1.0                      0.040902                      6.987058e-06
351                                         shanlongli_umass_edu        200           72.800000       542.624722       1.0                      0.003002                      7.259925e-06
17                                             achaloo_umass_edu         59           80.000000       197.315556       1.0                      0.009578                      8.423256e-06
319                                        qizhengyang_umass_edu         93           80.000000       744.354444       1.0                      0.002560                      8.494215e-06
467                                                zji_smith_edu         36           80.000000        89.768611       1.0                      0.021498                      8.601406e-06
153                                        hkolukuluru_umass_edu          6           80.000000        10.689167       1.0                      0.183942                      8.763338e-06
22                                            aghasemi_umass_edu         29           80.000000       138.635278       1.0                      0.014601                      9.021777e-06
145                                         guangshixu_umass_edu         13           80.000000        29.613056       1.0                      0.068722                      9.070328e-06
367                                         sooyonglee_umass_edu         18           80.000000        28.003889       1.0                      0.073860                      9.218760e-06
418                                             vdorna_umass_edu        100           78.400000       230.023611       1.0                      0.009458                      9.696736e-06
426                                        walter_lai001_umb_edu         83           80.000000       329.288333       1.0                      0.006732                      9.880577e-06
415                                       varshinibala_umass_edu          7           80.000000        57.063056       1.0                      0.039614                      1.007514e-05
239                                        miladkasirian_uri_edu          8           80.000000        27.175000       1.0                      0.085032                      1.029900e-05
392                                       svaidyanatha_umass_edu         19           71.578947       102.635833       1.0                      0.022969                      1.050722e-05
203                                           kchimmad_umass_edu         35           80.000000        74.930278       1.0                      0.031725                      1.059501e-05
302                                             pmovva_umass_edu         45           80.000000        26.900278       1.0                      0.089049                      1.067656e-05
398                                           tamaresh_umass_edu         29           77.241379       128.063889       1.0                      0.018966                      1.082528e-05
212                                           l_richards_uri_edu         12           80.000000        45.044167       1.0                      0.054128                      1.086695e-05
287                                          oraundale_umass_edu        299           77.324415       619.213056       1.0                      0.004026                      1.111036e-05
237                                        mhossain10_umassd_edu         92           80.000000       736.380278       1.0                      0.003387                      1.111521e-05
43                                        anushkayadav_umass_edu         13           80.000000        52.725000       1.0                      0.049438                      1.161768e-05
131                                            elpease_umass_edu          7           80.000000        21.034167       1.0                      0.124237                      1.164716e-05
119                                           dmpetrov_umass_edu        168           80.000000        68.720278       1.0                      0.038367                      1.175124e-05
12                                            abhinavk_umass_edu          6           80.000000        28.027500       1.0                      0.096606                      1.206791e-05
335                                       saishradhamo_umass_edu        118           80.000000       321.682500       1.0                      0.008427                      1.208228e-05
23                                             agnesli_umass_edu         22           78.181818       101.801944       1.0                      0.029860                      1.354851e-05
260                                          msharma8_umassd_edu         52           80.000000       231.413889       1.0                      0.013457                      1.387990e-05
350                                       shambhavikri_umass_edu          8           55.000000         3.080833       1.0                      1.057742                      1.452423e-05
348                                         sgavireddy_umass_edu         11           72.727273        27.303333       1.0                      0.121432                      1.477730e-05
386                                          sthurber506_uri_edu         68           80.000000       233.387222       1.0                      0.014470                      1.505238e-05
50                                          asadhgauri_umass_edu         27           77.037037        38.239722       1.0                      0.088758                      1.512754e-05
394                                                swa_umass_edu        325           80.000000       685.475000       1.0                      0.004960                      1.515414e-05
57                                             atajima_umass_edu         26           80.000000        33.779444       1.0                      0.101300                      1.525137e-05
170                                          jakob_porto_uri_edu         57           80.000000       267.401667       1.0                      0.013033                      1.553275e-05
103                                       debanjanmond_umass_edu         64           80.000000       102.627778       1.0                      0.034879                      1.595396e-05
440                                       yashwanthbab_umass_edu         30           73.333333        74.114444       1.0                      0.049065                      1.620768e-05
184                                       jkillingback_umass_edu        141           80.000000       378.945000       1.0                      0.010348                      1.747762e-05
463                                              zhexu_umass_edu        368           79.565217      1072.928889       1.0                      0.003886                      1.858297e-05
15                                             absahoo_umass_edu        283           79.434629       652.519722       1.0                      0.006733                      1.958146e-05
107                                            dgerard_umass_edu         30           76.000000        47.791944       1.0                      0.091986                      1.959389e-05
36                                         andres_torres_uri_edu         16           80.000000       129.813333       1.0                      0.034701                      2.007755e-05
280                                         nyarrabolu_umass_edu        158           77.468354       441.965556       1.0                      0.010385                      2.045719e-05
248                                        mmalekzadeh_umass_edu        123           79.349593       740.450833       1.0                      0.006232                      2.056781e-05
388                                         sunjaekwon_umass_edu         18           77.777778        22.002222       1.0                      0.210289                      2.062190e-05
423                                       vpimpalkhute_umass_edu          6           80.000000        34.588889       1.0                      0.134516                      2.073752e-05
123                                            dsaluru_umass_edu        392           80.000000       778.946111       1.0                      0.006039                      2.096482e-05
18                                         achyut_subedi_uri_edu         14           80.000000        40.228056       1.0                      0.121364                      2.176034e-05
49                                         arutkovskii_umass_edu        110           80.000000       309.571944       1.0                      0.015787                      2.178216e-05
256                                            mrafiee_umass_edu         25           80.000000       191.583056       1.0                      0.025528                      2.179828e-05
299                                             pkphan_umass_edu         23           80.000000        99.031667       1.0                      0.049667                      2.192237e-05
143                                         gehaozhang_umass_edu        664           79.939759       634.654167       1.0                      0.007824                      2.213168e-05
86                                              cesteves_uri_edu        187           80.000000       701.189444       1.0                      0.007131                      2.228588e-05
56                                            asureddy_umass_edu         53           80.000000        80.190000       1.0                      0.066399                      2.373152e-05
412                                    uchenna_onuoha001_umb_edu         57           80.000000       344.136667       1.0                      0.015658                      2.401696e-05
175                                            jdsweet_umass_edu         22           78.181818        53.783333       1.0                      0.100764                      2.415456e-05
376                                           ssahibul_umass_edu         47           80.000000       223.850556       1.0                      0.024661                      2.460418e-05
417                                               vdle_umass_edu          8           80.000000        49.542222       1.0                      0.114724                      2.533236e-05
352                                       shariharasub_umass_edu          5           80.000000        68.014722       1.0                      0.084323                      2.556183e-05
442                                          ychittepu_umass_edu         72           80.000000       199.823333       1.0                      0.028732                      2.558884e-05
230                                       meenakshiiye_umass_edu          6           80.000000         5.096111       1.0                      1.126889                      2.559558e-05
4                                             aaronsun_umass_edu        321           80.000000      1526.066389       1.0                      0.003842                      2.612968e-05
141                                       gakkinapalli_umass_edu        127           80.000000       296.095000       1.0                      0.019938                      2.631227e-05
393                                         svdeshmukh_umass_edu       1011           80.000000       682.163056       1.0                      0.008722                      2.651854e-05
450                                           ypatil1_umassd_edu         94           80.000000       547.747778       1.0                      0.010882                      2.656770e-05
246                                          mmaharjan_umass_edu         62           80.000000       287.159444       1.0                      0.022562                      2.887629e-05
182                                         jjeyasingh_umass_edu         48           77.500000       227.844722       1.0                      0.029101                      2.955261e-05
213                                          labarrett_umass_edu         12           50.000000        63.985556       1.0                      0.105400                      3.005853e-05
187                                          joohwanko_umass_edu        413           79.515738      1044.590833       1.0                      0.006963                      3.241983e-05
377                                            ssairaj_umass_edu          8           80.000000        20.924722       1.0                      0.351224                      3.275585e-05
270                                              nigel_umass_edu         45           80.000000       186.993611       1.0                      0.040638                      3.386943e-05
155                                           hojaeson_umass_edu         19           77.894737        46.486944       1.0                      0.165864                      3.436597e-05
128                                        ecalleortiz_umass_edu         22           80.000000       140.397222       1.0                      0.055017                      3.442733e-05
142                                            gawronski_uri_edu         49           80.000000        59.168611       1.0                      0.133141                      3.511130e-05
85                                           cecile_cres_uri_edu       1310           79.572519      4796.506944       1.0                      0.001650                      3.527799e-05
195                                           junyicao_umass_edu         66           80.000000       428.281944       1.0                      0.018547                      3.540308e-05
159                                           hshastri_umass_edu         43           76.279070        91.751389       1.0                      0.088983                      3.638874e-05
228                                           mdhassan_umass_edu          8           80.000000        36.031944       1.0                      0.230092                      3.695172e-05
409                                         tramnguyen_umass_edu        101           79.603960       659.889722       1.0                      0.012694                      3.733444e-05
173                                              jchou_umass_edu        112           79.285714       246.971111       1.0                      0.034758                      3.825967e-05
161                                              hzeng_umass_edu         94           80.000000       479.254722       1.0                      0.018044                      3.854266e-05
58                                        atharvashrik_umass_edu         29           77.241379        56.582500       1.0                      0.153430                      3.869338e-05
371                                       sphurtiagarw_umass_edu         35           80.000000       123.044722       1.0                      0.071751                      3.934941e-05
194                                           junyanli_umass_edu         69           80.000000       347.549722       1.0                      0.025442                      3.941033e-05
236                                        mghantasala_umass_edu          8           75.000000        16.883611       1.0                      0.524340                      3.945698e-05
311                                           psastry_umassd_edu         20           80.000000       125.716667       1.0                      0.070842                      3.969426e-05
174                                             jdomke_umass_edu          5           80.000000        19.241944       1.0                      0.467695                      4.011038e-05
261                                              mssun_umass_edu         79           80.000000       259.023333       1.0                      0.036137                      4.171901e-05
64                                              azheng_umass_edu          6           80.000000        10.304722       1.0                      0.910064                      4.179778e-05
211                                        kwhitecross_umass_edu         86           80.000000       657.226389       1.0                      0.014297                      4.187900e-05
99                                            dagarwal_umass_edu         74           78.378378       369.583333       1.0                      0.026589                      4.379877e-05
106                       devasaikumar_bheesetti_student_uml_edu         74           76.756757       362.745000       1.0                      0.027230                      4.402521e-05
372                                           spillai_umassd_edu         92           80.000000       611.372500       1.0                      0.016835                      4.587430e-05
189                                               jroh_umass_edu       1212           79.900990      2962.033056       1.0                      0.003483                      4.597940e-05
458                                          zarifalam_umass_edu        202           79.603960       603.301944       1.0                      0.017297                      4.650984e-05
120                                           dpadalia_umass_edu         21           80.000000        54.501944       1.0                      0.192840                      4.684400e-05
111                                       dhruveshpate_umass_edu         84           78.571429       273.156389       1.0                      0.038527                      4.690516e-05
25                                          akaruvally_umass_edu        220           80.000000       929.248889       1.0                      0.011496                      4.761423e-05
152                                             hjeong_umass_edu         45           80.000000       356.858333       1.0                      0.031699                      5.041860e-05
245                                        mmaddipatla_umass_edu         29           78.620690       126.217778       1.0                      0.090003                      5.063146e-05
115                                              dlacy_umass_edu        493           79.918864      3628.192222       1.0                      0.003162                      5.112766e-05
244                                             mkeya_umassd_edu         44           80.000000       320.417500       1.0                      0.036314                      5.185975e-05
71                                           bfrancois_umass_edu         37           77.837838       208.517222       1.0                      0.055951                      5.199859e-05
38                                          ankitkumar_umass_edu          9           80.000000        35.449444       1.0                      0.329235                      5.201878e-05
221                          madhavisuyog_pagare_student_uml_edu         85           79.058824       517.885833       1.0                      0.023138                      5.340819e-05
384                                       sthiagarajam_umass_edu         26           80.000000        63.793611       1.0                      0.187850                      5.341134e-05
468                                        zunzhezhang_umass_edu         73           78.904110       131.633056       1.0                      0.093581                      5.490348e-05
88                                           changzeng_umass_edu        120           80.000000       847.177778       1.0                      0.014611                      5.516778e-05
301                                           pmangina_umass_edu          8           80.000000        27.210833       1.0                      0.465240                      5.642396e-05
83                                               cburt_umass_edu         10           76.000000        39.197222       1.0                      0.324211                      5.664072e-05
419                                              vgudi_umass_edu         10           80.000000        67.037500       1.0                      0.190098                      5.679898e-05
27                                         allen_yang001_umb_edu        179           80.000000       206.441944       1.0                      0.062109                      5.714733e-05
411                                          tungichen_umass_edu         12           76.666667        29.240278       1.0                      0.442756                      5.770198e-05
94                                            cmummidi_umass_edu         39           78.974359       102.563889       1.0                      0.128707                      5.883570e-05
