                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
36                                         andres_torres_uri_edu         13           80.000000        86.671389       1.0                      0.000000                      0.000000e+00
415                                        wenlongzhao_umass_edu         20           80.000000       154.069722       1.0                      0.000000                      0.000000e+00
414                                          wenjunliu_umass_edu         21           78.095238       126.523056       1.0                      0.000000                      0.000000e+00
41                                anthony_bowers_student_uml_edu        438           79.452055      3156.654722       1.0                      0.000000                      0.000000e+00
370                            stephanie_epstein_student_uml_edu         30           80.000000       234.108611       1.0                      0.000000                      0.000000e+00
359                                          sparvekar_umass_edu          7           80.000000         9.394444       1.0                      0.000000                      0.000000e+00
58                                              aukale_umass_edu          6           80.000000        14.234444       1.0                      0.000000                      0.000000e+00
50                                           asajeeda_umassd_edu         18           80.000000       144.062500       1.0                      0.000000                      0.000000e+00
331                                       sanupkrishna_umass_edu         11           80.000000        65.660278       1.0                      0.000000                      0.000000e+00
333                                          sdandekar_umass_edu        122           80.000000      1445.128333       1.0                      0.000000                      0.000000e+00
329                                         samsonjaypee_uri_edu         10           80.000000        36.585556       1.0                      0.000000                      0.000000e+00
269                                          nmangwani_umass_edu          5           80.000000        19.015556       1.0                      0.000000                      0.000000e+00
72                                            bmuhwezi_umass_edu         28           78.571429        93.264167       1.0                      0.000000                      0.000000e+00
73                                                 bnl_umass_edu        219           77.990868       177.629444       1.0                      0.000000                      0.000000e+00
69                                             bdahrooge_uri_edu          5           80.000000         5.016667       1.0                      0.000000                      0.000000e+00
288                                         peihaochen_umass_edu         60           80.000000       353.214722       1.0                      0.000000                      0.000000e+00
230                                        mganapaneni_umass_edu          8           80.000000        26.029444       1.0                      0.000000                      0.000000e+00
270                                             noctis_umass_edu          7           74.285714        21.120000       1.0                      0.000000                      0.000000e+00
244                                           mmudambi_umass_edu         96           80.000000       614.134444       1.0                      0.000000                      0.000000e+00
196                                         kaichunliu_umass_edu        308           79.480519      1619.943333       1.0                      0.000000                      0.000000e+00
203  kithmasajinidileka_gampalaliyanapathiranage_student_uml_edu          8           80.000000      1779.180833       1.0                      0.000000                      0.000000e+00
229                                           mgalusha_umass_edu         13           80.000000        21.231667       1.0                      0.000000                      0.000000e+00
107                                             dgupta_umass_edu          7           80.000000         7.025000       1.0                      0.000000                      0.000000e+00
147                                          hhargrove_umass_edu         11           80.000000       350.942778       1.0                      0.000000                      0.000000e+00
5                                            aatmakuru_umass_edu          5           80.000000        15.758056       1.0                      0.000000                      0.000000e+00
436                                          ykothekar_umass_edu         15           80.000000        60.868056       1.0                      0.000000                      0.000000e+00
116                                         dmohapatra_umass_edu       2339           79.914493      6883.051111       1.0                      0.000000                      0.000000e+00
353                                             snikku_umass_edu         40           74.000000        93.881111       1.0                      0.000097                      4.112296e-08
189                                          juelinliu_umass_edu         13           80.000000        30.047778       1.0                      0.002311                      3.143392e-07
31                                        amritanshmis_umass_edu         13           80.000000        60.636389       1.0                      0.001177                      3.231175e-07
92                                            ckenyon_umassd_edu         12           80.000000        10.985556       1.0                      0.006789                      3.376975e-07
258                                       nazaninjafar_umass_edu         12           80.000000        32.756944       1.0                      0.002547                      3.777744e-07
441                                          yuhongluo_umass_edu         95           80.000000       636.384722       1.0                      0.000145                      4.179504e-07
371                                      steven_liebling_uri_edu         18           80.000000        16.427500       1.0                      0.006131                      4.560220e-07
327                                       saisreenivas_umass_edu          8           80.000000        11.989444       1.0                      0.008659                      4.700690e-07
127                                       edmondcunnin_umass_edu        101           79.207921       214.896667       1.0                      0.000570                      5.546006e-07
115                                             dmaram_umass_edu         37           78.918919        56.352500       1.0                      0.002207                      5.632294e-07
137                                             fikram_umass_edu         32           80.000000         8.845556       1.0                      0.021540                      8.626542e-07
302                                 priscilla_kissiappia_uri_edu         15           80.000000       120.065833       1.0                      0.001820                      9.894793e-07
110                                       dhruvinrakes_umass_edu          7           68.571429        13.219722       1.0                      0.016993                      1.017130e-06
24                                         aheryudono_umassd_edu          6           80.000000         3.519444       1.0                      0.070800                      1.128180e-06
388                                          tbudhwani_umass_edu         20           80.000000       110.891389       1.0                      0.002431                      1.220774e-06
89                                         chengzhangbao_uri_edu         12           80.000000         3.463611       1.0                      0.097601                      1.530578e-06
315                                              rgarg_umass_edu          5           80.000000        11.019722       1.0                      0.034969                      1.744734e-06
146                                              heuck_umass_edu       1310           80.000000       606.556111       1.0                      0.000657                      1.804586e-06
384                                             syasna_smith_edu          8           75.000000         8.240000       1.0                      0.048566                      1.811877e-06
422                                         xingyubian_umass_edu          5           80.000000        39.704722       1.0                      0.010234                      1.839702e-06
324                                           rvmathew_umass_edu      22086           76.462918     17092.900833       1.0                      0.000026                      2.019212e-06
151                                        hochulhwang_umass_edu         17           80.000000       132.083611       1.0                      0.003462                      2.070447e-06
205                                       kravichandra_umass_edu         12           80.000000        96.034722       1.0                      0.004813                      2.092869e-06
287                                             pchien_umass_edu       1150           80.000000       466.786667       1.0                      0.001028                      2.172897e-06
187                                           jrussell_umass_edu         20           80.000000        39.205000       1.0                      0.012883                      2.286886e-06
30                                             amekala_umass_edu         93           80.000000        99.673611       1.0                      0.005374                      2.425330e-06
272                                            nwycoff_umass_edu        421           80.000000       158.198333       1.0                      0.003479                      2.491789e-06
392                                            tislam_umassd_edu          7           80.000000        56.031944       1.0                      0.010314                      2.616559e-06
246                               mohamed_elgaar_student_uml_edu         33           75.151515        15.075556       1.0                      0.038469                      2.625778e-06
96                                              ctpham_umass_edu        618           80.000000      1015.095000       1.0                      0.000749                      3.442942e-06
260                                       nevbarunegbe_umass_edu         30           80.000000        73.331389       1.0                      0.011300                      3.751719e-06
65                                          baldikacti_umass_edu       1526           80.000000       996.359444       1.0                      0.000832                      3.754980e-06
164                                       jacksonmicha_umass_edu         46           74.782609       280.541111       1.0                      0.002984                      3.790748e-06
430                                         yekyungkim_umass_edu         41           80.000000       235.453056       1.0                      0.003726                      3.972291e-06
434                                          yiwenyang_umass_edu          6           80.000000        12.017222       1.0                      0.074450                      4.050801e-06
122                                         dshivashok_umass_edu        817           79.510404       207.286944       1.0                      0.004478                      4.202688e-06
51                                             asalemi_umass_edu         42           80.000000       196.173056       1.0                      0.004888                      4.341131e-06
268                                           nkparikh_umass_edu         15           80.000000        25.862778       1.0                      0.037845                      4.431497e-06
130                                          emccleary_umass_edu        911           80.000000       742.315000       1.0                      0.001419                      4.768081e-06
11                                        abhinavbhati_umass_edu          6           80.000000        12.032778       1.0                      0.092781                      5.054702e-06
398                                          ttripathi_umass_edu         69           80.000000        76.623333       1.0                      0.014883                      5.163109e-06
180                                        jkarnuthala_umass_edu         12           80.000000        39.441111       1.0                      0.029520                      5.271481e-06
320                                        rpulishetty_umass_edu         76           76.315789       417.538333       1.0                      0.002872                      5.428989e-06
193                                             jzhu5_umassd_edu         34           80.000000       267.021111       1.0                      0.005283                      6.386914e-06
17                                             achaloo_umass_edu         42           80.000000       150.556111       1.0                      0.009632                      6.565616e-06
227                                            mfernando_uri_edu         20           80.000000        53.396667       1.0                      0.027642                      6.682649e-06
426                                         yapeichang_umass_edu        145           80.000000       231.417500       1.0                      0.006601                      6.915843e-06
425                                            yajieli_umass_edu         15           80.000000        45.854444       1.0                      0.033573                      6.970227e-06
213                                             limr_iastate_edu         10           64.000000        38.327222       1.0                      0.040902                      7.097758e-06
342                                         shanlongli_umass_edu        200           72.800000       542.624722       1.0                      0.003002                      7.374948e-06
62                                         ayman_sandouk_uri_edu         16           80.000000        45.963611       1.0                      0.038039                      7.916068e-06
312                                        qizhengyang_umass_edu         93           80.000000       744.354444       1.0                      0.002560                      8.628794e-06
453                                                zji_smith_edu         36           80.000000        89.768611       1.0                      0.021498                      8.737683e-06
150                                        hkolukuluru_umass_edu          6           80.000000        10.689167       1.0                      0.183942                      8.902181e-06
22                                            aghasemi_umass_edu         29           80.000000       138.635278       1.0                      0.014601                      9.164715e-06
142                                         guangshixu_umass_edu         13           80.000000        29.613056       1.0                      0.068722                      9.214034e-06
380                                       svaidyanatha_umass_edu         15           69.333333        70.617778       1.0                      0.029094                      9.302336e-06
356                                         sooyonglee_umass_edu         18           80.000000        28.003889       1.0                      0.073860                      9.364818e-06
406                                             vdorna_umass_edu        100           78.400000       230.023611       1.0                      0.009458                      9.850367e-06
413                                        walter_lai001_umb_edu         83           80.000000       329.288333       1.0                      0.006732                      1.003712e-05
403                                       varshinibala_umass_edu          7           80.000000        57.063056       1.0                      0.039614                      1.023477e-05
234                                        miladkasirian_uri_edu          8           80.000000        27.175000       1.0                      0.085032                      1.046218e-05
199                                           kchimmad_umass_edu         35           80.000000        74.930278       1.0                      0.031725                      1.076288e-05
295                                             pmovva_umass_edu         45           80.000000        26.900278       1.0                      0.089049                      1.084572e-05
386                                           tamaresh_umass_edu         28           77.142857       125.063333       1.0                      0.019643                      1.112268e-05
280                                          oraundale_umass_edu        299           77.324415       619.213056       1.0                      0.004026                      1.128639e-05
232                                        mhossain10_umassd_edu         92           80.000000       736.380278       1.0                      0.003387                      1.129132e-05
208                                           l_richards_uri_edu         11           80.000000        43.037500       1.0                      0.059049                      1.150619e-05
42                                        anushkayadav_umass_edu         13           80.000000        52.725000       1.0                      0.049438                      1.180174e-05
