                                    User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
20                 ayman_sandouk_uri_edu          7                80.0        13.241111       1.0                      0.000000                          0.000000
31                  dmohapatra_umass_edu         24                80.0        14.961667       1.0                      0.000000                          0.000000
17        anthony_bowers_student_uml_edu         10                80.0        80.024167       1.0                      0.000000                          0.000000
50                     kdonkor_umass_edu         13                80.0        84.946389       1.0                      0.000000                          0.000000
64                    mmudambi_umass_edu          6                80.0         3.121389       1.0                      0.000000                          0.000000
96                  tramnguyen_umass_edu          9                80.0        62.088333       1.0                      0.000000                          0.000000
90                  svdeshmukh_umass_edu         38                80.0        11.177222       1.0                      0.002106                          0.000007
3                      absahoo_umass_edu          8                80.0        25.140000       1.0                      0.001602                          0.000012
46                   joohwanko_umass_edu          6                80.0        19.950278       1.0                      0.002109                          0.000012
33                   emccleary_umass_edu        100                80.0        51.283333       1.0                      0.001524                          0.000022
32                       elobo_umass_edu         20                80.0        55.104444       1.0                      0.001469                          0.000023
100                 wschwarzer_umass_edu         91                80.0        92.129444       1.0                      0.001850                          0.000049
101                 xiaowenqiu_umass_edu          5                80.0        26.015833       1.0                      0.006603                          0.000049
56   madhavisuyog_pagare_student_uml_edu         19                80.0        41.990833       1.0                      0.004830                          0.000058
92                    syerawar_umass_edu          5                80.0        10.618333       1.0                      0.023030                          0.000070
36                       heuck_umass_edu        125                80.0       177.396944       1.0                      0.001776                          0.000090
43                  jjeyasingh_umass_edu          6                80.0        23.059444       1.0                      0.016498                          0.000109
35                       gkhanna_uri_edu         11                80.0       447.112500       1.0                      0.000963                          0.000123
4                      achaloo_umass_edu         17                80.0        46.759444       1.0                      0.009445                          0.000126
54                  lclawrence_umass_edu         14                80.0        36.822500       1.0                      0.029944                          0.000315
12                     amalali_umass_edu         85                80.0       258.216389       1.0                      0.004475                          0.000330
84                siddharthjai_umass_edu         11                80.0         9.162500       1.0                      0.130425                          0.000342
14                      anaseh_umass_edu         34                80.0       180.185556       1.0                      0.006749                          0.000348
30                       dlacy_umass_edu          8                80.0       110.976667       1.0                      0.011696                          0.000371
42                  jiagengliu_umass_edu          6                80.0        22.016944       1.0                      0.063203                          0.000398
65                     mnchase_umass_edu          7                80.0         2.446389       1.0                      0.594323                          0.000415
45                    jnainani_umass_edu          7                80.0        50.072778       1.0                      0.040732                          0.000583
11                 allen_yang001_umb_edu         14                80.0        22.112222       1.0                      0.125301                          0.000792
51                   kgudipaty_umass_edu          5                80.0        11.259444       1.0                      0.258214                          0.000831
103                yuncongyang_umass_edu          7                80.0        28.656389       1.0                      0.106540                          0.000872
9                   akaruvally_umass_edu         74                80.0       292.196389       1.0                      0.013776                          0.001150
6                       acpham_umass_edu         24                80.0        35.652500       1.0                      0.158169                          0.001611
1                      aafzali_umass_edu         13                80.0        90.066667       1.0                      0.067924                          0.001748
57                       mbumb_umass_edu          6                80.0        48.027222       1.0                      0.152658                          0.002095
29                dhruvmaheshw_umass_edu         24                80.0       137.076389       1.0                      0.169148                          0.006626
41                jeongyeob_chae_uri_edu         13                80.0       103.288333       1.0                      0.602482                          0.017783
21                  bchhaglani_umass_edu          7                80.0       168.423889       1.0                      0.593525                          0.028567
